epoch,n_loss,i_loss,mean_values
1,0.22391444,0.5284658,1.9430435
2,0.21998851,0.3296015,0.121530786
3,0.17853597,0.2835074,0.06776412
4,0.16814968,0.2748803,0.095199235
5,0.16207467,0.26848745,0.025710016
6,0.15807745,0.26288873,0.015972782
7,0.15395747,0.2594493,0.10888089
8,0.15152581,0.25436994,0.103909954
9,0.14889407,0.25369447,0.058745664
10,0.14543726,0.25101668,0.15843484
11,0.14449088,0.25292495,0.12505975
12,0.14214185,0.25207496,0.011274684
13,0.14138256,0.24761721,0.18924412
14,0.13909614,0.24566245,0.13546999
15,0.13792391,0.24361324,0.19303617
16,0.13619412,0.24307887,0.10906432
17,0.13500145,0.2428111,0.13271871
18,0.13474564,0.24322724,0.093110666
19,0.13347098,0.24480428,0.21353002
20,0.13174894,0.24385354,0.18174002
21,0.13123052,0.24300282,0.1584897
22,0.1308986,0.23926091,0.16233122
23,0.12998335,0.23989677,0.07386793
24,0.12881537,0.23507659,0.18170546
25,0.12799722,0.23410064,0.033685498
26,0.12752168,0.2364005,0.23159675
27,0.12716998,0.2297976,0.09788963
28,0.12605217,0.23383,0.14367627
29,0.12563463,0.23437409,0.14208914
30,0.1253882,0.23388489,0.13685685
31,0.12453216,0.23712498,0.088804446
32,0.1242156,0.23119529,0.14304008
33,0.12376674,0.23390667,0.25596714
34,0.122848704,0.23219346,0.14446329
35,0.12233696,0.22965878,0.15891351
36,0.12227946,0.23410305,0.1355811
37,0.12193089,0.23353843,0.052836657
38,0.12108078,0.23309658,0.10243764
39,0.12073542,0.22966824,0.080379955
40,0.120438,0.23019898,0.15220709
41,0.12043481,0.23198745,0.07599109
42,0.1195639,0.23416631,0.22065449
43,0.11901172,0.22803624,0.1984808
44,0.118817255,0.22746238,0.20095733
45,0.11862255,0.23426563,0.12505314
46,0.118280426,0.22685403,0.14083238
47,0.1181741,0.22680356,0.09179316
48,0.11801422,0.23087204,0.031174388
49,0.117994286,0.22863495,0.1702846
50,0.11779175,0.22923991,0.18934113
51,0.117369406,0.22638042,0.1462023
52,0.11719782,0.22405998,0.1485096
53,0.115841694,0.22651158,0.20430541
54,0.11560099,0.22524619,0.048412696
55,0.11547234,0.22797582,0.1075875
56,0.115304776,0.22195446,0.21460792
57,0.11512079,0.2239857,0.20240128
58,0.115105994,0.22510433,0.015140359
59,0.1150897,0.2238374,0.135968
60,0.11493443,0.22206268,0.15270989
61,0.11453647,0.22677284,0.08756222
62,0.114407,0.22557956,0.15984474
63,0.114324555,0.2211939,0.12149545
64,0.11376808,0.22119598,0.09860121
65,0.11366583,0.22504924,0.11569319
66,0.113303885,0.22220424,0.18919095
67,0.11313934,0.22532272,0.22826695
68,0.11305607,0.22189724,0.13531604
69,0.11285101,0.22208889,0.12152092
70,0.11278841,0.22317429,0.21912737
71,0.11249519,0.22073875,0.12737279
72,0.11243385,0.22320172,0.12216227
73,0.112338595,0.22254105,0.07580025
74,0.11232029,0.22417787,0.08464234
75,0.11219988,0.22138557,0.07556803
76,0.11153544,0.22244129,0.19754055
77,0.111513935,0.22122924,0.101214826
78,0.11132097,0.21957603,0.20119563
79,0.111310944,0.22316691,0.18654177
80,0.11127702,0.22216323,0.16795865
81,0.111035995,0.22023316,0.13506067
82,0.11099999,0.21842507,0.19406971
83,0.11081278,0.22201103,0.124443874
84,0.11076885,0.22330883,0.14076893
85,0.11075195,0.22065201,0.103093766
86,0.11066585,0.21959811,0.10699721
87,0.110588394,0.21775986,0.1013271
88,0.11048086,0.22015987,0.19584192
89,0.11043045,0.21951556,0.22469549
90,0.11026041,0.22039166,0.13487467
91,0.11024074,0.21931079,0.12275696
92,0.1102195,0.22116368,0.14540645
93,0.11008159,0.22209622,0.17981042
94,0.1100541,0.22167952,0.062262446
95,0.10944586,0.22127931,0.13475308
96,0.10943682,0.21985902,0.15178092
97,0.10930942,0.22069626,0.16327068
98,0.109259315,0.22063023,0.18638662
99,0.109145224,0.21469548,0.068065554
100,0.109095365,0.22078419,0.1650948
101,0.10897507,0.21894059,0.17258397
102,0.10888668,0.21845908,0.10321085
103,0.10876739,0.21825883,0.18708794
104,0.10874186,0.2200428,0.04174777
105,0.108729646,0.22377335,0.22290497
106,0.108672485,0.21873687,0.13862975
107,0.10865362,0.21581692,0.09175731
108,0.10841103,0.21892898,0.098083064
109,0.108236775,0.21499303,0.1345885
110,0.10819267,0.21958339,0.1310715
111,0.108186916,0.21852836,0.13359308
112,0.10787695,0.21867836,1.601585
