epoch,n_loss,i_loss
1,0.22247466,0.518377
2,0.21191855,0.33621818
3,0.16091582,0.27951273
4,0.15237644,0.26827762
5,0.1491554,0.2647549
6,0.14499874,0.26357004
7,0.14255615,0.26008168
8,0.14112593,0.25853217
9,0.13951975,0.25754917
10,0.13792014,0.25629103
11,0.13692124,0.25516012
12,0.1357172,0.2545108
13,0.13526636,0.2531989
14,0.13377336,0.2513655
15,0.13319929,0.25141174
16,0.132328,0.25195092
17,0.13142814,0.2501217
18,0.13105321,0.24910113
19,0.13027097,0.2510536
20,0.12988552,0.24525096
21,0.12980705,0.24956718
22,0.12909035,0.24831702
23,0.12867185,0.24295108
24,0.12857658,0.24822387
25,0.12781611,0.24542408
26,0.12773591,0.24497788
27,0.1270025,0.24574211
28,0.12670189,0.24396493
29,0.12588929,0.24499543
30,0.1256985,0.24412936
31,0.1253713,0.24502093
32,0.1251881,0.24488664
33,0.12512176,0.2416616
34,0.12483447,0.24328166
35,0.12480826,0.24033713
36,0.1247559,0.24229674
37,0.12372067,0.24226466
38,0.1230233,0.23954964
39,0.12297166,0.24132842
40,0.12251776,0.24124192
41,0.12247023,0.24144673
42,0.12245349,0.2412021
43,0.1224012,0.24057718
44,0.12162671,0.23732963
45,0.121571474,0.2431507
46,0.12157123,0.24011567
47,0.121383876,0.23661068
48,0.120952934,0.2402384
49,0.12093573,0.2418926
50,0.12091968,0.24106658
51,0.120910116,0.24253249
52,0.120587915,0.23618397
53,0.120305076,0.24032399
54,0.120209135,0.23975064
55,0.120027155,0.23908257
56,0.119815215,0.24020162
57,0.11959244,0.23966472
58,0.11947205,0.23604454
59,0.11936738,0.24311809
60,0.119300544,0.23947136
61,0.119296074,0.23999745
62,0.11878337,0.23753421
63,0.118614785,0.23934986
64,0.118572615,0.23804249
65,0.11831851,0.23606129
66,0.11828519,0.23769656
67,0.1182518,0.23575853
68,0.11822127,0.23863743
69,0.11815835,0.23881224
70,0.11812691,0.24139138
71,0.118047535,0.23420571
72,0.117962375,0.23834383
73,0.11761675,0.24218159
74,0.11740516,0.23776735
75,0.11738454,0.23912318
76,0.11728448,0.23911656
77,0.1172094,0.23452705
78,0.117087655,0.23621626
79,0.116892055,0.23698227
80,0.116853006,0.23694853
81,0.11680484,0.23877598
82,0.11671461,0.23377517
83,0.11668921,0.23653834
84,0.11667665,0.23403285
85,0.116661094,0.23793858
86,0.11664022,0.23612368
87,0.11658765,0.2346109
88,0.11646949,0.23599558
89,0.1164148,0.23887444
90,0.11631631,0.23558417
91,0.11627229,0.23386432
92,0.11617961,0.23803684
93,0.11595763,0.23828468
94,0.115891226,0.23481761
95,0.11586781,0.23648436
96,0.115810506,0.23564406
97,0.11580362,0.23841223
98,0.115423836,0.23302075
99,0.115390874,0.23302075
100,0.115307795,0.23466582
101,0.11526581,0.23664689
102,0.1152316,0.23512842
103,0.1151039,0.23571834
104,0.11508368,0.2350213
105,0.114987895,0.23435989
106,0.114843264,0.2333953
107,0.11480673,0.2378462
108,0.114775605,0.23610449
109,0.11477285,0.23648857
110,0.114763975,0.23211674
111,0.11446513,0.23321529
112,0.114456326,0.23239791
113,0.11443043,0.23442814
114,0.11438943,0.23795216
115,0.11436544,0.23328875
116,0.11432378,0.23657884
117,0.11428309,0.23571056
118,0.11426011,0.23355213
119,0.114245154,0.23297073
120,0.11415018,0.23460665
121,0.11392612,0.23173133
122,0.113919616,0.23320746
123,0.11388451,0.234376
124,0.11387612,0.23323014
125,0.11372024,0.23564911
126,0.11370261,0.2342094
127,0.11356881,0.23207745
128,0.11347082,0.23357391
129,0.11322625,0.23581252
130,0.11304656,0.23112519
131,0.11301194,0.23466347
132,0.11276826,0.235356
133,0.111316646,0.22510611
134,0.10939809,0.222779
135,0.10904566,0.22152278
136,0.10683228,0.21844133
137,0.10622775,0.2144912
138,0.10527382,0.21610456
139,0.10417877,0.21310864
140,0.10381744,0.20925627
141,0.10380944,0.21246003
142,0.10349835,0.20902412
143,0.10347729,0.20714752
144,0.10346259,0.207706436
145,0.10308636,0.20492807
146,0.102889294,0.20541948
147,0.10206795,0.205330445
148,0.1020574,0.2034791
149,0.10203869,0.20391806
150,0.10195327,0.20404678
151,0.1019259,0.2022005
152,0.10103237,0.202240086
153,0.10045885,0.19952313
154,0.10023262,0.200347065
155,0.10016039,0.197387344
156,0.10010577,0.19961669
157,0.100079136,0.199812866
158,0.1000645,0.201348945
159,0.10002454,0.1990045
160,0.09991777,0.19739185
161,0.09971898,0.20097206
162,0.09957569,0.19820985
163,0.09934942,0.19810934
164,0.09906671,0.194945744
165,0.09902203,0.1972282
166,0.09896214,0.19951843
167,0.09876715,0.19416639
168,0.098308126,0.196997806
169,0.0981605,0.19524938
170,0.098093735,0.19609326
171,0.09801044,0.197276524
172,0.097906234,0.1944196
173,0.0978795,0.193886324
174,0.09752946,0.19379057
175,0.0974973,0.19698569
176,0.09729302,0.192637644
177,0.097180205,0.19181442
178,0.09711769,0.19360751
179,0.0970573,0.19518277
180,0.09703673,0.19468313
181,0.0970311,0.196559935
